2026-04-18 15:48:01 | INFO     | agent_manager | agent_manager.py:71 | 初始化 LangGraph Multi-Agent...
2026-04-18 15:48:02 | WARNING  | agent_manager | agent_manager.py:79 | MCP 工具初始化失败：unhandled errors in a TaskGroup (1 sub-exception)，将使用无工具模式
2026-04-18 15:48:02 | INFO     | backend.agents.coordinator | coordinator.py:68 | 初始化 LangGraph Multi-Agent...
2026-04-18 15:48:06 | INFO     | backend.agents.visualization_agent | visualization_agent.py:65 | 豆包图像生成器初始化成功，模型: doubao-seedream-5-0-260128
2026-04-18 15:48:06 | INFO     | backend.agents.coordinator | coordinator.py:78 | 所有 Agent 初始化完成
2026-04-18 15:48:06 | INFO     | agent_manager | agent_manager.py:94 | MultiAgentGraph 实例创建完成
2026-04-18 15:48:06 | INFO     | agent_manager | agent_manager.py:55 | Agent 启动初始化成功
2026-04-18 15:48:06 | INFO     | backend.main | main.py:30 | Agent 初始化成功，服务就绪
2026-04-18 15:48:08 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=61279)
2026-04-18 15:48:08 | INFO     | backend.main | main.py:95 | 客户端断开连接
2026-04-18 15:48:10 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=59639)
2026-04-18 15:48:10 | INFO     | backend.main | main.py:95 | 客户端断开连接
2026-04-18 15:48:10 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=51202)
2026-04-18 15:48:10 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=53155)
2026-04-18 15:48:10 | INFO     | backend.main | main.py:95 | 客户端断开连接
2026-04-18 15:48:13 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=52518)
2026-04-18 15:48:45 | INFO     | backend.rag.vector_store | vector_store.py:174 | 当前向量后端: chroma
2026-04-18 15:48:47 | INFO     | backend.rag.embedding_service | embedding_service.py:56 | Embedding 成功，维度: 1024
2026-04-18 15:48:47 | INFO     | backend.rag.keyword_retriever | keyword_retriever.py:163 | 关键词索引构建完成: files=6, chunks=6, avg_len=128.00
